ID,Age,Experience,Income,ZIP Code,Family,CCAvg,Education,Mortgage,Products
1,25,1,49,91107,4,1.6,1,0,1
2,45,19,34,90089,3,1.5,1,0,1
3,39,15,11,94720,1,1.0,1,0,0
4,35,9,100,94112,1,2.7,2,0,0
5,35,8,45,91330,4,1.0,2,0,1
6,37,13,29,92121,4,0.4,2,155,1
7,53,27,72,91711,2,1.5,2,0,1
8,50,24,22,93943,1,0.3,3,0,1
9,35,10,81,90089,3,0.6,2,104,1
10,34,9,180,93023,1,8.9,3,0,1
11,65,39,105,94710,4,2.4,3,0,0
12,29,5,45,90277,3,0.1,2,0,1
13,48,23,114,93106,2,3.8,3,0,1
14,59,32,40,94920,4,2.5,2,0,1
15,67,41,112,91741,1,2.0,1,0,1
16,60,30,22,95054,1,1.5,3,0,2
17,38,14,130,95010,4,4.7,3,134,1
18,42,18,81,94305,4,2.4,1,0,0
19,46,21,193,91604,2,8.1,3,0,1
20,55,28,21,94720,1,0.5,2,0,2
21,56,31,25,94015,4,0.9,2,111,1
22,57,27,63,90095,3,2.0,3,0,1
23,29,5,62,90277,1,1.2,1,260,1
24,44,18,43,91320,2,0.7,1,163,1
25,36,11,152,95521,2,3.9,1,159,1
26,43,19,29,94305,3,0.5,1,97,1
27,40,16,83,95064,4,0.2,3,0,0
28,46,20,158,90064,1,2.4,1,0,2
29,56,30,48,94539,1,2.2,3,0,2
30,38,13,119,94104,1,3.3,2,0,4
31,59,35,35,93106,1,1.2,3,122,1
32,40,16,29,94117,1,2.0,2,0,1
33,53,28,41,94801,2,0.6,3,193,0
34,30,6,18,91330,3,0.9,3,0,0
35,31,5,50,94035,4,1.8,3,0,1
36,48,24,81,92647,3,0.7,1,0,0
37,59,35,121,94720,1,2.9,1,0,1
38,51,25,71,95814,1,1.4,3,198,0
39,42,18,141,94114,3,5.0,3,0,4
40,38,13,80,94115,4,0.7,3,285,1
41,57,32,84,92672,3,1.6,3,0,1
42,34,9,60,94122,3,2.3,1,0,0
43,32,7,132,90019,4,1.1,2,412,2
44,39,15,45,95616,1,0.7,1,0,1
45,46,20,104,94065,1,5.7,1,0,2
46,57,31,52,94720,4,2.5,1,0,1
47,39,14,43,95014,3,0.7,2,153,1
48,37,12,194,91380,4,0.2,3,211,5
49,56,26,81,95747,2,4.5,3,0,1
50,40,16,49,92373,1,1.8,1,0,1
51,32,8,8,92093,4,0.7,2,0,2
52,61,37,131,94720,1,2.9,1,0,1
53,30,6,72,94005,1,0.1,1,207,0
54,50,26,190,90245,3,2.1,3,240,2
55,29,5,44,95819,1,0.2,3,0,1
56,41,17,139,94022,2,8.0,1,0,1
57,55,30,29,94005,3,0.1,2,0,3
58,56,31,131,95616,2,1.2,3,0,1
59,28,2,93,94065,2,0.2,1,0,0
60,31,5,188,91320,2,4.5,1,455,0
61,49,24,39,90404,3,1.7,2,0,2
62,47,21,125,93407,1,5.7,1,112,1
63,42,18,22,90089,1,1.0,1,0,0
64,42,17,32,94523,4,0.0,2,0,1
65,47,23,105,90024,2,3.3,1,0,0
66,59,35,131,91360,1,3.8,1,0,2
67,62,36,105,95670,2,2.8,1,336,0
68,53,23,45,95123,4,2.0,3,132,1
69,47,21,60,93407,3,2.1,1,0,2
70,53,29,20,90045,4,0.2,1,0,1
71,42,18,115,91335,1,3.5,1,0,1
72,53,29,69,93907,4,1.0,2,0,1
73,44,20,130,92007,1,5.0,1,0,1
74,41,16,85,94606,1,4.0,3,0,2
75,28,3,135,94611,2,3.3,1,0,1
76,31,7,135,94901,4,3.8,2,0,4
77,58,32,12,91320,3,0.3,3,0,0
78,46,20,29,92220,3,0.5,2,0,0
79,54,30,133,93305,2,2.6,3,0,1
80,50,26,19,94720,2,0.4,1,118,1
81,60,36,41,95134,4,1.3,1,174,2
82,47,22,40,94612,3,2.7,2,0,1
83,41,16,82,92507,1,4.0,3,0,1
84,33,9,50,94305,1,2.4,2,0,0
85,46,22,18,91730,1,0.9,3,0,1
86,27,2,109,94005,4,1.8,3,0,0
87,40,16,42,94501,4,2.2,2,126,0
88,48,22,78,94305,3,1.1,1,0,1
89,65,41,51,94117,2,1.1,1,0,1
90,25,-1,113,94303,4,2.3,3,0,1
91,55,30,118,90277,4,5.6,2,0,2
92,35,10,29,94105,4,1.1,3,0,1
93,43,19,34,94305,3,0.6,2,0,0
94,60,34,64,94550,2,1.7,3,236,2
95,65,39,121,92612,1,2.0,1,0,0
96,38,12,48,95617,4,0.2,3,0,1
97,41,15,80,95014,1,5.2,1,0,0
98,54,28,161,92121,1,2.9,1,0,1
99,49,23,94,92374,1,0.3,1,0,1
100,66,41,15,91711,3,0.1,3,0,1
101,48,23,74,94080,1,1.2,1,0,1
102,61,36,30,94608,3,1.3,2,0,0
103,53,23,44,93555,3,1.0,3,198,2
104,43,18,22,95670,2,0.3,2,0,1
105,56,32,38,93311,4,1.3,1,166,2
106,24,0,35,94704,3,0.1,2,0,2
107,43,17,69,92717,4,2.9,1,0,2
108,42,18,43,92037,1,0.7,1,136,0
109,33,7,32,95136,1,0.6,3,166,1
110,43,17,49,94542,1,2.8,1,0,1
111,41,14,9,91330,3,1.0,2,0,0
112,62,38,45,94143,4,1.3,2,0,1
113,40,15,82,91775,3,1.0,1,309,0
114,58,34,92,92703,2,2.8,1,103,0
115,39,14,39,92354,3,0.5,3,0,1
116,65,40,81,92024,3,1.8,2,0,1
117,54,29,35,92831,1,1.5,2,0,1
118,58,33,61,92833,2,2.3,3,193,1
119,41,16,73,92647,3,3.0,1,0,1
120,32,7,112,94304,1,4.6,1,366,0
121,54,29,12,90057,2,0.2,3,0,1
122,52,26,38,91711,3,0.9,3,0,1
123,58,32,73,94523,2,0.7,2,0,2
124,37,13,84,92130,1,3.6,2,0,1
125,39,15,78,92121,4,2.4,1,118,1
126,60,35,80,91301,3,0.5,1,0,1
127,31,5,115,92096,2,1.3,1,101,2
128,34,8,82,92646,1,2.7,2,251,1
129,38,14,74,92182,2,0.0,1,0,2
130,41,16,70,92131,3,0.5,3,0,1
131,28,4,81,94801,3,1.5,1,276,1
132,58,34,149,93720,4,7.2,2,0,4
133,31,1,51,90840,2,1.75,3,0,0
134,30,4,39,90245,3,1.1,2,0,1
135,53,29,98,95035,3,1.8,2,0,0
136,58,33,45,93010,4,2.1,1,0,2
137,59,32,49,95035,4,2.5,2,0,1
138,49,25,128,95054,2,0.4,1,0,0
